Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,2606.6288298470317,1892.1541221737937,2910.242992819442,2075.2680205240526,406.5933502525967,5831264
2023-01-03,950.1346293286814,1443.5277197060875,853.0296118238485,695.2703004138173,342.64855191345316,32033365
2023-01-04,768.0395893740488,584.027305174951,1546.2584027802677,2240.1181417398393,2621.717784366897,31553013
2023-01-05,2308.057698731331,421.1696269821128,2366.2303913864007,550.1265766559742,2369.121982926122,15313081
2023-01-06,760.5049660016377,2090.116913131512,2811.9672650258267,2230.373855427412,1759.776882701242,9220269
2023-01-09,337.79918060531907,1220.4196299295352,1373.7798466595245,2007.9811524592772,2955.871454539212,30918004
2023-01-10,842.7419089871423,2582.6742295483873,1359.0043280702857,2539.511896898183,2954.097111852267,15936922
2023-01-11,2600.524567492519,2740.4297572455657,499.84235465957,1381.743189418245,588.94837913778,45868386
2023-01-12,2415.009717074545,1381.0494926272384,2552.200163592933,1401.3744729258422,817.8556942923428,42441347
2023-01-13,310.90654504997576,2524.482763459785,2560.074022492087,130.81599424658418,1895.624835932508,43064298
2023-01-16,242.567439234823,1102.5424649583938,1523.0633510054759,2443.0949424292303,1647.5277601711712,23210501
2023-01-17,1808.983956460688,134.28140065546083,1623.4690415912269,933.9725997123844,1291.342394913948,9722723
2023-01-18,1287.6749717150124,2049.4263785631347,2433.10329993593,2911.9422922082986,1571.2426953940476,15084400
2023-01-19,783.9060220691704,1721.870497842647,1710.515541645151,1892.3576142759114,2085.307503637241,30336463
2023-01-20,346.298066623982,2913.176478413913,2135.3688892600085,928.5508458500514,1862.1709524996015,27851259
2023-01-23,1282.357778071672,822.8874064731363,2898.865599631289,1775.1267647525558,1137.287614396517,10874142
2023-01-24,1441.8632100834968,2181.689226131477,1864.2447795185255,314.1308332897123,2685.7256979075237,40119607
2023-01-25,2663.2850777754416,1192.2042985870858,1653.620240686281,2655.920543210751,153.04507525867993,46969464
2023-01-26,2701.267517993689,1683.699736546362,2934.0087894383078,1620.5215148713216,414.36073220666765,43931303
2023-01-27,156.41422105762794,266.09071506403006,2513.848754632521,2397.4552801185414,1222.3928339678118,11369729
2023-01-30,2143.523969613519,110.89434520286402,695.1888765260364,2587.3253673050212,2117.6543561647995,10174181
2023-01-31,1490.9929737166522,2478.7804307844613,447.39264107166986,1724.8850305225685,2030.163062306885,3364134
2023-02-01,840.506235975198,954.7367122632812,1994.9317132036354,2525.771139100949,1335.0237855292537,40100526
2023-02-02,2775.0930444540527,534.9008369269209,2512.3936053454513,705.9203770072494,2878.1894189699883,33170485
